Zone Name,Comment,Power,RX Freq,TX Freq,Color Code,AARG 2,Audio Test 2,Baynet 2,BC 1,Bridge 2,Cactus 2,California 1,Canada 2,Cascades 1,Hawaii 1~2,I-5~1,I-84~2,Idaho ARES 2,Idaho 1,Inland 2,Local 1,Local 2,Michigan 1,Montana 2,Mountain 2,MPRG 1~2,Net 2,N.America 2,Ontario 2,Oregon 1,Parrot 1,PNW 1,PNW 2,PNW Rgnl 2,PS1-DNU,PS2-DNU,SNARS 1~2,TAC 1~2,TAC 2~2,TAC 3~2,TG 9,TAC 310~2,TAC 311~2,TAC 312~2,TAC 313~2,TAC 314~2,TAC 315~2,TAC 316~2,TAC 317~2,TAC 318~2,TAC 319~2,TAC Eng 123,USA 2,Utah 2,Washington 1,Washington 2,Worldwide 2,WW English 2
IssaquahTiger;IST,,High,442.025,447.025,1,-,2,-,1,2,-,1,2,1,2,1,-,-,1,-,1,2,1,-,2,-,2,-,2,1,1,1,2,2,1,2,2,2,2,-,-,2,2,2,2,2,-,-,-,-,2,2,2,-,1,2,2,2
Kelso/Columbia;KEC,,High,444.7125,449.7125,1,-,2,-,-,2,-,-,-,1,-,1,-,-,1,-,1,2,-,-,2,-,-,2,-,1,1,-,2,2,1,2,-,2,2,2,-,2,2,2,-,-,-,-,-,-,-,2,2,-,1,2,2,2
Lewiston ID;LEW,,High,442.1,447.1,1,-,2,-,1,2,-,-,2,1,-,-,-,2,1,-,1,2,1,2,-,2,2,-,-,1,1,1,2,2,-,-,-,2,2,2,-,2,2,2,-,-,-,-,-,-,-,-,2,2,1,2,-,-
Longview/Rainier;LVR,,High,441.7,446.7,1,-,2,-,-,2,-,-,-,1,-,1,-,-,1,-,1,2,-,-,2,-,-,2,-,1,1,-,2,2,1,2,-,2,2,2,-,2,2,2,-,-,-,-,-,-,-,2,2,-,1,2,2,2
Mazama VHF;MAZ,,High,145.21,147.99,3,-,2,-,1,2,2,-,2,1,2,-,-,-,1,-,1,2,-,2,-,-,2,2,-,1,1,1,2,2,1,2,-,2,2,2,-,-,2,-,-,-,-,-,-,-,-,-,2,2,1,2,-,2
MM/Bridget 430;MMB,,Low,430.4125,430.4125,1,-,-,-,-,-,-,-,-,1,-,-,-,-,1,-,-,-,-,2,-,-,-,-,-,1,1,1,2,2,-,-,-,2,2,-,-,2,-,-,-,2,-,-,-,-,-,-,-,2,1,2,-,-
MM/Wes 430;MMW,,Low,430.4125,430.4125,1,-,-,-,-,-,-,-,-,1,-,1,-,-,-,-,-,-,-,-,-,-,-,-,-,1,1,1,-,2,-,-,-,2,2,-,-,2,-,-,-,-,-,-,-,-,-,-,-,-,1,2,-,-
MM/Otis 430;MMO,,Low,430.4125,430.4125,1,-,-,-,-,-,-,-,-,1,-,-,2,-,1,-,-,-,-,-,-,-,-,-,-,1,1,1,-,2,-,-,-,2,2,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,1,2,-,-
MM/RexX 2Slot;MMR,,Low,430.4375,439.4375,1,-,2,-,1,-,-,-,-,1,-,-,-,-,1,-,-,-,-,-,-,-,-,-,-,1,1,1,2,2,-,-,-,2,2,2,-,-,-,-,-,-,-,-,-,-,-,-,-,-,1,2,-,-
MM/Peter 430;MMP,,Low,430.4125,430.4125,1,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,1,-,-,2,-,-,-,2,2,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
MM/Suzy 430;MMS,,Low,430.4125,430.4125,1,-,-,-,-,-,-,-,-,1,-,1,-,-,1,-,-,-,-,-,-,-,-,-,-,1,1,1,-,2,-,-,-,2,2,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,1,2,-,-
Moses Lk/Frechmn;MOF,,High,440.925,445.925,1,-,2,-,1,2,-,1,2,1,-,-,-,-,1,-,1,2,1,2,-,-,2,2,-,1,1,1,2,2,1,2,-,2,2,2,-,2,2,-,-,-,-,-,-,-,-,-,2,-,1,2,2,2
Newberg/MtnTopRd;NEM,,High,444.4875,449.4875,1,-,2,-,-,-,-,-,-,-,-,1,-,-,1,-,1,2,-,-,2,-,-,-,-,1,1,1,2,2,1,2,2,2,2,-,-,2,-,-,-,-,-,-,-,-,2,-,-,-,1,2,2,2
NBend/ValleyCamp;NBV,,High,440.725,445.725,1,-,2,-,1,2,-,-,-,1,-,-,-,-,1,-,1,2,-,-,-,-,-,-,-,1,1,1,2,2,1,2,-,2,2,2,-,2,2,2,-,-,-,-,-,-,-,2,2,-,1,2,2,2
Olympia/Cap Pk;OLC,,High,440.7125,445.7125,1,-,2,-,1,2,-,1,-,1,-,1,-,-,1,-,1,2,-,-,2,-,2,-,-,1,1,1,2,2,1,2,-,2,2,-,-,2,2,2,-,2,-,-,-,-,2,2,2,-,1,2,2,2
Oso/Frailey;OSF,,High,444.15,449.15,1,-,2,-,1,2,-,1,-,1,-,1,-,-,1,-,1,2,-,-,2,-,2,-,-,1,1,1,2,2,1,2,2,2,2,-,-,2,2,2,-,2,-,-,-,-,2,2,2,-,1,2,2,2
Portland/MtScott;POM,,High,441.325,446.325,7,2,2,2,1,2,-,1,-,1,-,1,2,-,1,2,1,2,-,2,2,2,2,2,-,1,1,1,2,2,-,-,-,2,2,2,-,2,2,2,-,-,-,-,-,-,-,-,2,2,1,2,2,-
Portland/PPMC;POP,,High,444.8375,449.8375,7,2,2,2,1,2,-,1,-,1,-,1,2,-,1,2,1,2,-,2,2,2,2,2,-,1,1,1,2,2,-,-,-,2,2,2,-,2,2,2,-,-,-,-,-,-,-,-,2,2,1,2,2,-
Portland/Sylvan;POS,,High,440.5125,445.5125,1,2,2,2,1,2,-,1,-,1,-,1,2,-,1,2,1,2,-,2,2,2,-,2,-,1,1,1,2,2,-,-,-,2,2,2,-,2,2,2,-,-,-,-,-,-,-,-,2,2,1,2,2,-
Prineville/Town;PRT,,High,441.25,446.25,1,-,2,-,-,-,-,-,-,1,-,-,-,-,-,-,1,2,-,-,-,-,-,2,-,1,1,1,2,2,-,-,-,2,-,-,-,2,2,2,2,2,-,-,-,-,2,-,-,-,1,2,2,-
Saint Maries ID;SAI,,High,443.75,448.75,1,-,2,-,1,2,-,-,-,1,-,-,-,2,1,-,1,2,-,2,-,2,2,-,-,1,1,1,2,2,-,-,-,2,2,2,-,2,2,2,-,-,-,-,-,-,-,-,2,2,1,2,-,-
Salem/Orchard;SAL,,High,442.8875,447.8875,1,-,2,-,-,-,-,-,-,-,-,1,-,-,1,-,1,2,-,-,2,-,-,-,-,1,1,1,2,2,1,2,2,2,2,-,-,2,-,-,-,-,-,-,-,-,2,-,-,-,1,2,2,2
Seattle/South;SES,,High,440.925,445.925,1,-,2,-,-,-,-,-,-,-,-,1,-,-,-,-,1,2,-,-,-,-,-,-,-,1,1,1,2,2,-,-,-,2,2,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,1,2,-,-
Seattle/Metro;SEM,,High,441.325,446.325,1,-,2,-,1,2,-,1,2,1,2,1,-,-,1,-,1,2,-,2,-,-,2,-,-,1,1,1,2,2,1,2,-,2,2,2,-,2,2,2,2,2,-,-,-,-,2,-,2,-,1,2,-,-
Sequim/Blyn Mtn;SEQ,,High,440.4875,445.4875,1,-,2,-,1,2,-,1,2,1,-,1,-,-,1,-,1,2,1,2,-,-,2,2,2,1,1,1,2,2,1,2,-,2,2,2,-,2,2,2,-,-,-,-,-,-,-,-,2,2,1,2,-,-
Shelton/SpncrLk;SHL,,High,147.18,147.78,1,-,2,-,1,2,-,1,-,1,-,-,-,-,1,-,1,2,1,-,-,-,2,2,-,1,1,1,2,2,1,2,-,2,2,2,-,2,2,2,-,-,-,-,-,-,-,2,2,-,1,2,2,2
Snoq/RttlsnakeU;SRU,,High,440.7375,445.7375,1,-,2,-,1,-,-,1,2,1,-,-,-,-,1,-,1,2,1,2,2,-,2,2,2,1,1,1,2,2,1,2,-,2,2,2,-,2,2,2,-,-,-,-,-,-,-,2,2,2,1,2,2,2
Snoq/RttlsnakeV;SRV,,High,147.02,147.62,1,-,2,-,1,2,2,1,2,1,-,1,-,-,1,-,1,2,1,-,2,-,2,2,2,1,1,1,2,2,1,2,-,2,2,2,-,2,2,2,-,-,-,-,-,-,-,2,2,-,1,2,2,2
Spok/Lookout UHF;SPL,,High,444.15,449.15,1,-,2,-,1,2,-,1,2,1,-,-,-,-,1,-,1,2,1,-,-,-,2,2,2,1,1,1,2,2,1,2,-,2,2,2,-,2,2,2,-,-,-,-,-,-,-,-,2,-,1,2,2,2
Spok/Krell UHF;SKU,,High,444.125,449.125,1,-,2,-,1,2,-,1,2,1,-,1,-,-,1,-,1,2,1,-,2,-,2,2,2,1,1,1,2,2,1,2,-,2,2,2,-,2,2,2,-,-,-,-,-,-,-,-,2,2,1,2,2,2
Spok/Krell VHF;SKV,,High,147.4125,146.4125,1,-,2,-,1,2,-,1,2,1,-,1,-,-,1,-,1,2,1,-,2,-,2,2,2,1,1,1,2,2,1,2,2,2,2,2,-,2,2,2,-,-,-,-,-,-,-,-,2,-,1,2,2,2
SpokVall/Ridge;SVR,,High,440.7375,445.7375,1,-,2,-,1,2,-,1,2,1,-,-,-,-,1,-,1,2,-,-,-,-,2,2,2,1,1,1,2,2,1,2,-,2,2,2,-,2,2,2,-,-,-,-,-,-,-,-,2,-,1,2,2,2
Tacoma/Ruston;TAR,,High,440.725,445.725,1,-,2,-,1,2,2,1,2,1,-,1,-,-,1,-,1,2,-,2,2,-,2,-,-,1,1,1,2,2,1,2,2,2,2,2,-,2,2,2,2,2,-,-,-,-,2,2,2,-,1,2,2,2
Tacoma/Baldi;TBA,,High,441.35,446.35,1,-,2,-,1,2,-,1,-,1,2,1,-,-,1,-,1,2,-,-,2,-,2,2,-,1,1,1,2,2,1,2,2,2,2,-,-,2,2,2,2,2,-,-,-,-,2,2,2,-,1,2,2,2
TheDall/StackrBu;THS,,High,443.1,448.1,1,-,2,2,1,2,-,1,-,1,-,-,2,-,1,2,1,2,-,2,2,2,2,2,-,1,1,1,2,2,-,-,-,2,2,2,-,2,2,2,-,-,-,-,-,-,-,-,2,2,1,2,2,-
Tri-Citi/JOJ UHF;TRU,,High,440.7375,445.7375,1,-,2,-,-,2,-,-,-,1,-,-,-,-,1,-,1,2,-,2,-,-,-,2,-,1,1,1,2,2,1,2,-,2,2,2,-,2,-,-,-,-,-,-,-,-,-,-,2,2,1,2,-,-
Tri-Citi/JOJ VHF;TRV,,High,147.425,146.425,1,-,2,-,-,-,-,-,-,1,-,-,2,-,1,-,1,2,-,-,-,-,-,2,-,1,1,1,2,2,1,2,-,-,-,2,-,2,-,-,-,-,-,-,-,-,-,-,2,-,1,2,-,-
Tulalip/Tulalip;TUL,,High,444.1,449.1,1,-,2,-,1,-,-,1,-,1,-,1,-,-,1,-,1,2,-,2,-,-,2,-,-,1,1,1,2,2,1,2,-,2,2,2,-,-,-,-,-,2,-,-,-,-,-,-,-,-,1,2,-,-
Wenatchee/LilBad;WEN,,High,443.75,448.75,1,-,2,-,1,2,-,1,2,1,-,-,-,-,1,-,1,2,1,-,2,-,-,2,-,1,1,1,2,2,1,2,-,2,2,2,-,2,2,-,-,-,-,-,-,-,-,-,2,2,1,2,2,2
Whidbey Island;WHI,,High,440.725,445.725,1,-,2,-,1,2,-,1,2,1,-,1,-,-,1,-,1,2,-,-,2,-,-,2,2,1,1,1,2,2,1,2,-,2,2,2,-,-,2,2,-,-,-,-,-,-,-,2,2,-,1,2,2,2
Yakima/Elephant;YAK,,High,147.12,147.72,1,-,2,-,1,2,-,-,-,1,-,-,-,-,1,-,1,2,-,2,-,-,2,2,-,1,1,1,2,2,1,2,-,2,2,2,-,2,-,-,-,-,-,-,-,-,-,-,2,-,1,2,2,-
